invoice_id,invoice_line_id,vendor_invoice_reference,vendor_id,vendor_name_raw,po_id,po_line_id,invoice_date,received_date,item_id,invoice_quantity,unit_price,tax_rate,line_subtotal,line_tax,line_total,currency,source_system,exception,exception_types
INV00021,INVL000021,SUP-INV00021,V0476,Delta Logistics,PO02107,POL002107,2026-04-01,2026-04-04,PRO-154,100,28032.13,0.0,2803213.0,0.0,2803213.0,INR,Email OCR,0,
INV00022,INVL000022,SUP-INV00022,V0350,Apex Services,PO01127,POL001127,2026-07-12,2026-07-16,PRO-087,1,37368.79,0.05,37368.79,1868.44,39237.23,INR,EDI,0,
INV00023,INVL000023,SUP-INV00023,V0139,Crest Industries Pvt Ltd,PO00264,POL000264,2026-02-12,2026-02-19,MAN-007,5,3301.75,0.12,16508.75,1981.05,18489.8,INR,Supplier Network,0,
INV00024,INVL000024,SUP-INV00024,V0185,Fusion  Enterprises  Pvt  Ltd,PO03880,POL003880,2026-04-03,2026-04-06,MAR-120,250,5305.85,0.05,1326462.5,66323.12,1392785.62,INR,Vendor Portal,0,
INV00025,INVL000025,SUP-INV00025,V0443,Fusion Logistics Pvt Ltd,PO01277,POL001277,2026-08-16,2026-08-17,LOG-118,50,5567.23,0.18,278361.5,50105.07,328466.57,INR,EDI,0,
INV00026,INVL000026,SUP-INV00026,V0277,Horizon Logistics Pvt Ltd,PO00930,POL000930,2026-08-14,2026-08-15,IT -031,50,8015.74,0.18,400787.0,72141.66,472928.66,INR,Supplier Network,0,
INV00027,INVL000027,SUP-INV00027,V0458,Bluewave Enterprises Pvt Ltd,PO01531,POL001531,2026-08-03,2026-08-03,LOG-107,100,9575.86,0.0,957586.0,0.0,957586.0,INR,Email OCR,0,
INV00028,INVL000028,SUP-INV00028,V0457,Global Services Pvt Ltd,PO01231,POL001231,2026-04-27,2026-04-29,LOG-124,100,10165.71,0.12,1016571.0,121988.52,1138559.52,INR,Email OCR,0,
INV00029,INVL000029,SUP-INV00029,V0028,Fusion Enterprises Pvt Ltd,PO04926,POL004926,2026-08-12,2026-08-14,OFF-146,10,173.95,0.18,1739.5,313.11,2052.61,INR,Vendor Portal,0,
INV00030,INVL000030,SUP-INV00030,V0035,Apex Supplies Pvt Ltd,PO04961,POL004961,2026-07-03,2026-07-09,FAC-027,20,1978.96,0.12,39579.2,4749.5,44328.7,INR,Email OCR,0,
INV00031,INVL000031,SUP-INV00031,V0447,Indus Systems Pvt Ltd,PO04920,POL004920,2026-06-27,2026-07-04,OFF-049,250,955.67,0.12,238917.5,28670.1,267587.6,INR,Email OCR,0,
INV00032,INVL000032,SUP-INV00032,V0206,Horizon Enterprises Pvt Ltd,PO00151,POL000151,2026-04-06,2026-04-09,MAN-033,5,257.99,0.18,1289.95,232.19,1522.14,INR,Email OCR,0,
INV00033,INVL000033,SUP-INV00033,V0033,Indus Logistics Pvt Ltd,PO01263,POL001263,2026-05-02,2026-05-06,FAC-087,10,3645.28,0.12,36452.8,4374.34,40827.14,INR,Vendor Portal,0,
INV00034,INVL000034,SUP-INV00034,V0316,Delta Solutions Pvt Ltd,PO01705,POL001705,2026-04-09,2026-04-12,MAR-139,250,4295.89,0.12,1073972.5,128876.7,1202849.2,INR,Supplier Network,0,
INV00035,INVL000035,SUP-INV00035,V0062,Apex Components Pvt Ltd,PO03672,POL003672,2026-06-07,2026-06-11,UTI-127,20,2824.82,0.12,56496.4,6779.57,63275.97,INR,Vendor Portal,0,
INV00036,INVL000036,SUP-INV00036,V0485,Global Components Pvt Ltd,PO01064,POL001064,2026-03-16,2026-03-22,OFF-071,50,1475.12,0.12,73756.0,8850.72,82606.72,INR,Vendor Portal,0,
INV00037,INVL000037,SUP-INV00037,V0443,FUSION LOGISTICS PVT LTD,PO01698,POL001698,2026-06-09,2026-06-16,LOG-041,1,8951.07,0.12,8951.07,1074.13,10025.2,INR,Supplier Network,0,
INV00038,INVL000038,SUP-INV00038,V0064,Apex Logistics Pvt Ltd,PO00992,POL000992,2026-08-10,2026-08-16,OFF-074,250,294.79,0.12,73697.5,8843.7,82541.2,INR,Supplier Network,0,
INV00039,INVL000039,SUP-INV00039,V0062,Apex Components Pvt Ltd,PO02061,POL002061,2026-08-18,2026-08-26,UTI-160,50,1135.8,0.05,56790.0,2839.5,59629.5,INR,Vendor Portal,0,
INV00040,INVL000040,SUP-INV00040,V0093,Delta Solutions Pvt Ltd,PO00018,POL000018,2026-09-16,2026-09-17,FAC-001,500,7103.32,0.18,3551660.0,639298.8,4190958.8,INR,EDI,0,
INV00041,INVL000041,SUP-INV00041,V0442,Crest Logistics Pvt Ltd,PO01218,POL001218,2026-07-05,2026-07-05,UTI-055,50,1601.83,0.12,80091.5,9610.98,89702.48,INR,EDI,0,
INV00042,INVL000042,SUP-INV00042,V0305,Fusion Systems Pvt Ltd,PO01301,POL001301,2026-03-03,2026-03-08,IT -144,50,10332.42,0.0,516621.0,0.0,516621.0,INR,Email OCR,0,
INV00043,INVL000043,SUP-INV00043,V0026,Jupiter Industries Pvt Ltd,PO02188,POL002188,2026-09-20,2026-09-28,LOG-151,2,6870.37,0.0,13740.74,0.0,13740.74,INR,Vendor Portal,0,
INV00044,INVL000044,SUP-INV00044,V0300,Apex Supplies Pvt Ltd,PO00280,POL000280,2026-04-24,2026-04-28,UTI-105,100,3827.71,0.05,382771.0,19138.55,401909.55,INR,Supplier Network,0,
INV00045,INVL000045,SUP-INV00045,V0086,JUPITER SOLUTIONS PVT LTD,PO02787,POL002787,2026-06-29,2026-06-29,IT -110,1,19828.57,0.12,19828.57,2379.43,22208.0,INR,Supplier Network,0,
INV00046,INVL000046,SUP-INV00046,V0143,Apex Supplies Pvt Ltd,PO04586,POL004586,2026-08-12,2026-08-20,FAC-082,20,3995.98,0.18,79919.6,14385.53,94305.13,INR,EDI,0,
INV00047,INVL000047,SUP-INV00047,V0297,Jupiter Solutions,PO03140,POL003140,2026-07-04,2026-07-05,LOG-052,50,6222.87,0.12,311143.5,37337.22,348480.72,INR,EDI,0,
INV00048,INVL000048,SUP-INV00048,V0213,Apex Supplies Pvt Ltd,PO01913,POL001913,2026-08-18,2026-08-23,OFF-023,1,870.1,0.18,870.1,156.62,1026.72,INR,Vendor Portal,0,
INV00049,INVL000049,SUP-INV00049,V0387,Indus Systems,PO03088,POL003088,2026-03-27,2026-04-01,MAN-107,50,2430.29,0.0,121514.5,0.0,121514.5,INR,EDI,0,
INV00050,INVL000050,SUP-INV00050,V0237,Crest Solutions Pvt Ltd,PO03732,POL003732,2026-06-27,2026-07-05,PRO-117,5,28314.13,0.05,141570.65,7078.53,148649.18,INR,Vendor Portal,0,
INV00051,INVL000051,SUP-INV00051,V0398,Global Logistics Pvt Ltd,PO03394,POL003394,2026-06-21,2026-06-21,PRO-047,1,29515.59,0.0,29515.59,0.0,29515.59,INR,Email OCR,0,
INV00052,INVL000052,SUP-INV00052,V0242,Indus Industries Pvt Ltd,PO02946,POL002946,2026-03-08,2026-03-16,PRO-024,20,4145.66,0.12,82913.2,9949.58,92862.78,INR,EDI,0,
INV00053,INVL000053,SUP-INV00053,V0086,Jupiter Solutions Pvt Ltd,PO00654,POL000654,2026-03-19,2026-03-22,IT -019,500,14865.0,0.12,7432500.0,891900.0,8324400.0,INR,EDI,0,
INV00054,INVL000054,SUP-INV00054,V0133,Global Enterprises Pvt Ltd,PO01125,POL001125,2026-06-22,2026-06-29,UTI-130,50,1877.24,0.05,93862.0,4693.1,98555.1,INR,Email OCR,0,
INV00055,INVL000055,SUP-INV00055,V0072,Bluewave Logistics Pvt Ltd,PO01233,POL001233,2026-06-12,2026-06-13,OFF-041,250,1019.9,0.0,254975.0,0.0,254975.0,INR,Supplier Network,0,
INV00056,INVL000056,SUP-INV00056,V0200,Apex Supplies Pvt Ltd,PO02303,POL002303,2026-03-08,2026-03-14,LOG-013,1,7074.31,0.05,7074.31,353.72,7428.03,INR,EDI,0,
INV00057,INVL000057,SUP-INV00057,V0487,Jupiter Systems Pvt Ltd,PO03932,POL003932,2026-03-21,2026-03-29,LOG-078,500,3764.63,0.0,1882315.0,0.0,1882315.0,INR,EDI,0,
INV00058,INVL000058,SUP-INV00058,V0483,Apex Enterprises Pvt Ltd,PO04397,POL004397,2026-05-26,2026-05-31,LOG-120,1,5790.79,0.0,5790.79,0.0,5790.79,INR,Supplier Network,0,
INV00059,INVL000059,SUP-INV00059,V0362,Apex Systems Pvt Ltd,PO02510,POL002510,2026-03-02,2026-03-07,MAN-127,2,2982.68,0.12,5965.36,715.84,6681.2,INR,Supplier Network,0,
INV00060,INVL000060,SUP-INV00060,V0141,Global Supplies Pvt Ltd,PO02063,POL002063,2026-05-19,2026-05-24,PRO-020,100,38802.21,0.12,3880221.0,465626.52,4345847.52,INR,Vendor Portal,0,
INV00061,INVL000061,SUP-INV00061,V0091,Evergreen Systems Pvt Ltd,PO02691,POL002691,2026-08-02,2026-08-10,FAC-004,500,6613.24,0.18,3306620.0,595191.6,3901811.6,INR,Vendor Portal,0,
INV00062,INVL000062,SUP-INV00062,V0015,Jupiter Components Pvt Ltd,PO01723,POL001723,2026-04-20,2026-04-26,FAC-136,20,623.46,0.05,12469.2,623.46,13092.66,INR,Supplier Network,0,
INV00063,INVL000063,SUP-INV00063,V0041,Apex Supplies Pvt Ltd,PO04931,POL004931,2026-09-03,2026-09-11,FAC-084,10,7949.44,0.05,79494.4,3974.72,83469.12,INR,Email OCR,0,
INV00064,INVL000064,SUP-INV00064,V0477,Apex Industries Pvt Ltd,PO03752,POL003752,2026-08-19,2026-08-23,MAN-054,2,91.59,0.12,183.18,21.98,205.16,INR,Supplier Network,0,
INV00065,INVL000065,SUP-INV00065,V0180,Global Services Pvt Ltd,PO03265,POL003265,2026-03-20,2026-03-22,FAC-137,2,6334.06,0.05,12668.12,633.41,13301.53,INR,EDI,0,
INV00066,INVL000066,SUP-INV00066,V0483,Apex Enterprises Pvt Ltd,PO03805,POL003805,2026-06-11,2026-06-11,LOG-047,100,4696.84,0.18,469684.0,84543.12,554227.12,INR,Email OCR,0,
INV00067,INVL000067,SUP-INV00067,V0457,Global Services Pvt Ltd,PO02727,POL002727,2026-04-17,2026-04-17,LOG-100,100,7556.23,0.05,755623.0,37781.15,793404.15,INR,Supplier Network,0,
INV00068,INVL000068,SUP-INV00068,V0371,Evergreen Enterprises Pvt Ltd,PO00786,POL000786,2026-05-11,2026-05-15,MAN-132,20,456.7,0.12,9134.0,1096.08,10230.08,INR,Vendor Portal,0,
INV00069,INVL000069,SUP-INV00069,V0098,Global Enterprises Pvt Ltd,PO03135,POL003135,2026-03-23,2026-03-26,IT -160,100,7522.32,0.18,752232.0,135401.76,887633.76,INR,Supplier Network,0,
INV00070,INVL000070,SUP-INV00070,V0128,Jupiter Logistics Pvt Ltd,PO03657,POL003657,2026-08-05,2026-08-08,OFF-050,250,725.04,0.18,181260.0,32626.8,213886.8,INR,Email OCR,0,
INV00071,INVL000071,SUP-INV00071,V0342,Indus Systems,PO03488,POL003488,2026-04-26,2026-05-02,UTI-076,100,3886.96,0.18,388696.0,69965.28,458661.28,INR,Email OCR,0,
INV00072,INVL000072,SUP-INV00072,V0004,Jupiter  Services  Pvt  Ltd,PO01527,POL001527,2026-07-20,2026-07-26,UTI-131,20,2017.91,0.18,40358.2,7264.48,47622.68,INR,Email OCR,0,
INV00073,INVL000073,SUP-INV00073,V0334,Apex Logistics Pvt Ltd,PO00820,POL000820,2026-04-19,2026-04-27,MAR-015,100,12055.87,0.05,1205587.0,60279.35,1265866.35,INR,Email OCR,0,
INV00074,INVL000074,SUP-INV00074,V0136,Global Components Pvt Ltd,PO01547,POL001547,2026-05-24,2026-05-28,OFF-048,50,909.31,0.0,45465.5,0.0,45465.5,INR,Supplier Network,0,
INV00075,INVL000075,SUP-INV00075,V0478,Global Systems Pvt Ltd,PO04039,POL004039,2026-03-08,2026-03-11,UTI-079,500,4520.61,0.18,2260305.0,406854.9,2667159.9,INR,Vendor Portal,0,
INV00076,INVL000076,SUP-INV00076,V0046,Delta  Enterprises  Pvt  Ltd,PO03159,POL003159,2026-08-03,2026-08-05,OFF-081,250,1003.74,0.18,250935.0,45168.3,296103.3,INR,Supplier Network,0,
INV00077,INVL000077,SUP-INV00077,V0097,Crest Components Pvt Ltd,PO01875,POL001875,2026-03-29,2026-03-29,UTI-140,1,4872.82,0.12,4872.82,584.74,5457.56,INR,Supplier Network,0,
INV00078,INVL000078,SUP-INV00078,V0354,Crest Enterprises Pvt Ltd,PO04670,POL004670,2026-06-27,2026-06-27,IT -132,250,1794.96,0.12,448740.0,53848.8,502588.8,INR,Vendor Portal,0,
INV00079,INVL000079,SUP-INV00079,V0303,Delta Systems Pvt Ltd,PO02704,POL002704,2026-02-07,2026-02-10,LOG-011,50,8428.0,0.18,421400.0,75852.0,497252.0,INR,Supplier Network,0,
INV00080,INVL000080,SUP-INV00080,V0112,Horizon Services Pvt Ltd,PO02956,POL002956,2026-01-27,2026-02-04,MAR-133,1,8515.87,0.18,8515.87,1532.86,10048.73,INR,Supplier Network,0,
INV00081,INVL000081,SUP-INV00081,V0173,Crest Enterprises Pvt Ltd,PO01345,POL001345,2026-06-23,2026-06-24,UTI-056,20,1726.71,0.05,34534.2,1726.71,36260.91,INR,Supplier Network,0,
INV00082,INVL000082,SUP-INV00082,V0101,Apex Components Pvt Ltd,PO03167,POL003167,2026-07-28,2026-07-28,IT -067,10,10835.87,0.12,108358.7,13003.04,121361.74,INR,Vendor Portal,0,
INV00083,INVL000083,SUP-INV00083,V0154,APEX SYSTEMS PVT LTD,PO03050,POL003050,2026-04-15,2026-04-16,LOG-063,1,9731.62,0.0,9731.62,0.0,9731.62,INR,Email OCR,0,
INV00084,INVL000084,SUP-INV00084,V0422,Fusion Components Pvt Ltd,PO02158,POL002158,2026-03-31,2026-04-02,MAR-146,250,9040.07,0.05,2260017.5,113000.88,2373018.38,INR,Vendor Portal,0,
INV00085,INVL000085,SUP-INV00085,V0111,Fusion Solutions Pvt Ltd,PO02192,POL002192,2026-03-17,2026-03-20,PRO-159,50,11004.27,0.12,550213.5,66025.62,616239.12,INR,Supplier Network,0,
INV00086,INVL000086,SUP-INV00086,V0233,Apex Supplies Pvt Ltd,PO04927,POL004927,2026-02-03,2026-02-04,OFF-089,500,1112.44,0.0,556220.0,0.0,556220.0,INR,EDI,0,
INV00087,INVL000087,SUP-INV00087,V0064,Apex Logistics Pvt Ltd,PO01493,POL001493,2026-06-30,2026-07-07,OFF-061,20,134.25,0.0,2685.0,0.0,2685.0,INR,EDI,0,
INV00088,INVL000088,SUP-INV00088,V0197,Delta Enterprises Pvt Ltd,PO04379,POL004379,2026-04-19,2026-04-26,MAR-086,10,9604.25,0.0,96042.5,0.0,96042.5,INR,Email OCR,0,
INV00089,INVL000089,SUP-INV00089,V0451,Apex Solutions Pvt Ltd,PO01043,POL001043,2026-09-07,2026-09-12,IT -133,100,15960.74,0.12,1596074.0,191528.88,1787602.88,INR,Email OCR,0,
INV00090,INVL000090,SUP-INV00090,V0308,Apex Components Pvt Ltd,PO01180,POL001180,2026-07-10,2026-07-13,MAR-024,10,8577.64,0.18,85776.4,15439.75,101216.15,INR,EDI,0,
INV00091,INVL000091,SUP-INV00091,V0457,Global Services,PO04587,POL004587,2026-06-30,2026-07-05,LOG-055,1,1315.28,0.05,1315.28,65.76,1381.04,INR,Email OCR,0,
INV00092,INVL000092,SUP-INV00092,V0331,Bluewave Logistics Pvt Ltd,PO00435,POL000435,2026-07-28,2026-07-31,LOG-022,2,7155.59,0.12,14311.18,1717.34,16028.52,INR,Email OCR,0,
INV00093,INVL000093,SUP-INV00093,V0272,Fusion Logistics Pvt Ltd,PO02253,POL002253,2026-06-29,2026-07-04,UTI-002,5,2471.33,0.18,12356.65,2224.2,14580.85,INR,Vendor Portal,0,
INV00094,INVL000094,SUP-INV00094,V0379,Global Services Pvt Ltd,PO00465,POL000465,2026-06-06,2026-06-08,MAN-152,250,3407.92,0.12,851980.0,102237.6,954217.6,INR,EDI,0,
INV00095,INVL000095,SUP-INV00095,V0041,Apex Supplies Pvt Ltd,PO04580,POL004580,2026-06-05,2026-06-13,FAC-097,250,2059.73,0.12,514932.5,61791.9,576724.4,INR,Email OCR,0,
INV00096,INVL000096,SUP-INV00096,V0251,Horizon Services Pvt Ltd,PO01416,POL001416,2026-08-20,2026-08-21,IT -147,100,7789.77,0.18,778977.0,140215.86,919192.86,INR,Supplier Network,0,
INV00097,INVL000097,SUP-INV00097,V0282,Bluewave Logistics Pvt Ltd,PO00223,POL000223,2026-02-23,2026-03-02,FAC-146,250,6832.08,0.12,1708020.0,204962.4,1912982.4,INR,EDI,0,
INV00098,INVL000098,SUP-INV00098,V0239,Evergreen Supplies Pvt Ltd,PO02941,POL002941,2026-04-04,2026-04-07,OFF-030,10,1237.58,0.18,12375.8,2227.64,14603.44,INR,EDI,0,
INV00099,INVL000099,SUP-INV00099,V0328,Bluewave Supplies Pvt Ltd,PO02765,POL002765,2026-02-24,2026-02-27,PRO-041,500,19185.38,0.18,9592690.0,1726684.2,11319374.2,INR,Vendor Portal,0,
INV00100,INVL000100,SUP-INV00100,V0230,Global Systems Pvt Ltd,PO03531,POL003531,2026-06-25,2026-06-27,IT -148,250,4722.65,0.05,1180662.5,59033.12,1239695.62,INR,EDI,0,
INV00101,INVL000101,SUP-INV00101,V0028,Fusion Enterprises Pvt Ltd,PO03230,POL003230,2026-07-12,2026-07-20,OFF-159,5,1156.51,0.0,5782.55,0.0,5782.55,INR,Supplier Network,0,
INV00102,INVL000102,SUP-INV00102,V0452,Indus Components Pvt Ltd,PO01937,POL001937,2026-02-05,2026-02-05,FAC-034,5,6301.34,0.0,31506.7,0.0,31506.7,INR,Email OCR,0,
INV00103,INVL000103,SUP-INV00103,V0459,Horizon Components,PO04028,POL004028,2026-03-29,2026-03-30,OFF-125,2,1700.4,0.18,3400.8,612.14,4012.94,INR,Email OCR,0,
INV00104,INVL000104,SUP-INV00104,V0005,Global Solutions Pvt Ltd,PO00563,POL000563,2026-06-09,2026-06-15,IT -091,2,10338.12,0.0,20676.24,0.0,20676.24,INR,Supplier Network,0,
INV00105,INVL000105,SUP-INV00105,V0285,Indus Systems Pvt Ltd,PO03085,POL003085,2026-04-25,2026-04-30,IT -137,2,15765.22,0.05,31530.44,1576.52,33106.96,INR,Email OCR,0,
INV00106,INVL000106,SUP-INV00106,V0225,Delta Supplies Pvt Ltd,PO04164,POL004164,2026-04-29,2026-05-05,FAC-087,50,2442.6,0.12,122130.0,14655.6,136785.6,INR,Email OCR,0,
INV00107,INVL000107,SUP-INV00107,V0102,JUPITER SYSTEMS PVT LTD,PO03413,POL003413,2026-04-15,2026-04-18,PRO-063,1,34596.25,0.0,34596.25,0.0,34596.25,INR,Email OCR,0,
INV00108,INVL000108,SUP-INV00108,V0443,Fusion Logistics Pvt Ltd,PO04018,POL004018,2026-03-06,2026-03-10,LOG-005,50,5404.4,0.12,270220.0,32426.4,302646.4,INR,Vendor Portal,0,
INV00109,INVL000109,SUP-INV00109,V0270,Fusion Services Pvt Ltd,PO03420,POL003420,2026-04-27,2026-05-03,IT -027,100,20888.48,0.12,2088848.0,250661.76,2339509.76,INR,Email OCR,0,
INV00110,INVL000110,SUP-INV00110,V0321,Evergreen Services Pvt Ltd,PO00428,POL000428,2026-08-07,2026-08-13,PRO-010,5,9694.1,0.18,48470.5,8724.69,57195.19,INR,EDI,0,
INV00111,INVL000111,SUP-INV00111,V0360,Global Industries Pvt Ltd,PO01962,POL001962,2026-06-01,2026-06-04,FAC-018,50,7224.1,0.05,361205.0,18060.25,379265.25,INR,EDI,0,
INV00112,INVL000112,SUP-INV00112,V0445,Jupiter Systems Pvt Ltd,PO02717,POL002717,2026-05-21,2026-05-25,IT -022,5,2079.91,0.0,10399.55,0.0,10399.55,INR,Supplier Network,0,
INV00113,INVL000113,SUP-INV00113,V0105,Global Solutions Pvt Ltd,PO01996,POL001996,2026-09-04,2026-09-08,PRO-083,50,18491.1,0.18,924555.0,166419.9,1090974.9,INR,Supplier Network,0,
INV00114,INVL000114,SUP-INV00114,V0151,Jupiter Supplies Pvt Ltd,PO00851,POL000851,2026-07-28,2026-07-28,OFF-078,1,518.19,0.0,518.19,0.0,518.19,INR,Email OCR,0,
INV00115,INVL000115,SUP-INV00115,V0083,Indus Enterprises Pvt Ltd,PO04714,POL004714,2026-06-24,2026-06-26,FAC-095,1,6158.28,0.0,6158.28,0.0,6158.28,INR,Vendor Portal,0,
INV00116,INVL000116,SUP-INV00116,V0254,Evergreen Logistics Pvt Ltd,PO03243,POL003243,2026-05-03,2026-05-03,FAC-083,20,6306.73,0.18,126134.6,22704.23,148838.83,INR,EDI,0,
INV00117,INVL000117,SUP-INV00117,V0435,Jupiter Enterprises Pvt Ltd,PO01721,POL001721,2026-04-23,2026-04-23,MAN-030,20,725.49,0.0,14509.8,0.0,14509.8,INR,Email OCR,0,
INV00118,INVL000118,SUP-INV00118,V0403,HORIZON LOGISTICS PVT LTD,PO03323,POL003323,2026-03-18,2026-03-22,OFF-123,100,788.14,0.18,78814.0,14186.52,93000.52,INR,Email OCR,0,
INV00119,INVL000119,SUP-INV00119,V0445,Jupiter Systems Pvt Ltd,PO03790,POL003790,2026-04-06,2026-04-08,IT -039,50,2158.69,0.05,107934.5,5396.73,113331.23,INR,Supplier Network,0,
INV00120,INVL000120,SUP-INV00120,V0408,Bluewave Services Pvt Ltd,PO03493,POL003493,2026-05-07,2026-05-11,FAC-053,500,5281.92,0.12,2640960.0,316915.2,2957875.2,INR,Vendor Portal,0,
INV00121,INVL000121,SUP-INV00121,V0482,Indus Enterprises Pvt Ltd,PO03244,POL003244,2026-04-09,2026-04-13,IT -085,2,2116.53,0.12,4233.06,507.97,4741.03,INR,Vendor Portal,0,
INV00122,INVL000122,SUP-INV00122,V0462,Apex Solutions Pvt Ltd,PO03823,POL003823,2026-05-29,2026-05-29,MAR-042,50,6904.58,0.05,345229.0,17261.45,362490.45,INR,EDI,0,
INV00123,INVL000123,SUP-INV00123,V0027,Crest Supplies Pvt Ltd,PO00840,POL000840,2026-04-28,2026-05-05,FAC-002,100,5546.53,0.12,554653.0,66558.36,621211.36,INR,Supplier Network,0,
INV00124,INVL000124,SUP-INV00124,V0331,Bluewave Logistics Pvt Ltd,PO03809,POL003809,2026-02-14,2026-02-18,LOG-072,10,11960.29,0.05,119602.9,5980.15,125583.05,INR,Supplier Network,0,
INV00125,INVL000125,SUP-INV00125,V0383,Apex Services Pvt Ltd,PO04045,POL004045,2026-04-19,2026-04-24,PRO-087,1,5140.36,0.05,5140.36,257.02,5397.38,INR,Email OCR,0,
INV00126,INVL000126,SUP-INV00126,V0312,Global Solutions Pvt Ltd,PO04108,POL004108,2026-02-26,2026-03-01,PRO-138,50,17002.09,0.05,850104.5,42505.23,892609.73,INR,Email OCR,0,
INV00127,INVL000127,SUP-INV00127,V0061,DELTA INDUSTRIES PVT LTD,PO01896,POL001896,2026-03-15,2026-03-15,OFF-008,50,170.97,0.0,8548.5,0.0,8548.5,INR,Supplier Network,0,
INV00128,INVL000128,SUP-INV00128,V0151,Jupiter Supplies Pvt Ltd,PO00828,POL000828,2026-03-27,2026-04-04,OFF-025,1,948.38,0.05,948.38,47.42,995.8,INR,Supplier Network,0,
