payment_id,invoice_id,payment_date,payment_amount,status
PAY000183,INV00183,2026-11-08,343988.88,Paid
PAY000184,INV00184,2026-06-03,1434087.2,Paid
PAY000185,INV00185,2026-03-22,29250.64,Paid
PAY000186,INV00186,2026-05-12,1038764.62,Paid
PAY000187,INV00187,2026-06-28,91363.66,Paid
PAY000188,INV00188,2026-05-28,534898.72,Paid
PAY000189,INV00189,2026-05-31,32118.91,Paid
PAY000190,INV00190,2026-02-23,5913.78,Paid
PAY000191,INV00191,2026-05-08,8548.5,Paid
PAY000192,INV00192,2026-06-23,753.55,Paid
PAY000193,INV00193,2026-06-13,13587.63,Paid
PAY000194,INV00194,2026-05-06,29441.15,Paid
PAY000195,INV00195,2026-10-11,2591138.4,Paid
PAY000196,INV00196,2026-06-19,3585.95,Paid
PAY000197,INV00197,2026-07-25,604750.94,Paid
PAY000198,INV00198,2026-06-14,71744.4,Paid
PAY000199,INV00199,2026-07-21,818424.32,Paid
PAY000200,INV00200,2026-05-17,1192900.35,Paid
PAY000201,INV00201,2026-03-09,1341.08,Paid
PAY000202,INV00202,2026-05-12,2449180.0,Paid
PAY000203,INV00203,2026-04-25,12548865.0,Paid
PAY000204,INV00204,2026-04-06,46160.66,Paid
PAY000205,INV00205,2026-04-05,152779.4,Paid
PAY000206,INV00206,2026-05-09,187523.39,Paid
PAY000207,INV00207,2026-06-26,205352.45,Paid
PAY000208,INV00208,2026-07-29,1237.31,Paid
PAY000209,INV00209,2026-06-17,25635.74,Paid
PAY000210,INV00210,2026-06-10,106074.05,Paid
PAY000211,INV00211,2026-09-06,9613.63,Paid
PAY000212,INV00212,2026-06-07,4741.03,Paid
PAY000213,INV00213,2026-05-16,14190.4,Paid
PAY000214,INV00214,2026-09-07,175234.53,Paid
PAY000215,INV00215,2026-08-18,495611.2,Paid
PAY000216,INV00216,2026-04-17,128558.01,Paid
PAY000217,INV00217,2026-06-12,5397.38,Paid
PAY000218,INV00218,2026-06-16,20402.44,Paid
PAY000219,INV00219,2026-06-13,14519.51,Paid
PAY000220,INV00220,2026-09-10,394427.04,Paid
PAY000221,INV00221,2026-03-29,78367.34,Paid
PAY000222,INV00222,2026-06-18,9379.9,Paid
PAY000223,INV00223,2026-07-04,956754.75,Paid
PAY000224,INV00224,2026-07-28,408760.8,Paid
PAY000225,INV00225,2026-04-10,2390.08,Paid
PAY000226,INV00226,2026-07-31,5065.35,Paid
PAY000227,INV00227,2026-04-25,328788.0,Paid
PAY000228,INV00228,2026-04-04,1586188.8,Paid
PAY000229,INV00229,2026-06-12,17032.96,Paid
PAY000230,INV00230,2026-06-10,13470.8,Paid
PAY000231,INV00231,2026-06-30,35498.19,Paid
PAY000232,INV00232,2026-08-10,799181.6,Paid
PAY000233,INV00233,2026-06-09,9702.7,Paid
PAY000234,INV00234,2026-08-28,75253.71,Paid
PAY000235,INV00235,2026-10-04,664688.1,Paid
PAY000236,INV00236,2026-10-31,103462.8,Paid
PAY000237,INV00237,2026-05-26,4153028.25,Paid
PAY000238,INV00238,2026-06-08,182130.69,Paid
PAY000239,INV00239,2026-07-07,2398.75,Paid
PAY000240,INV00240,2026-06-07,1808100.0,Paid
PAY000241,INV00241,2026-07-15,4902.96,Paid
PAY000242,INV00242,2026-08-13,75737.55,Paid
PAY000243,INV00243,2026-09-13,2465485.05,Paid
PAY000244,INV00244,2026-03-10,2682.33,Paid
PAY000245,INV00245,2026-08-29,9541.46,Paid
PAY000246,INV00246,2026-09-28,9121.18,Paid
PAY000247,INV00247,2026-03-12,392503.12,Paid
PAY000248,INV00248,2026-05-18,7267.13,Paid
PAY000249,INV00249,2026-02-22,31811.92,Paid
PAY000250,INV00250,2026-03-02,150309.58,Paid
PAY000251,INV00251,2026-06-01,37451.79,Paid
PAY000252,INV00252,2026-05-04,40921.94,Paid
PAY000253,INV00253,2026-04-02,192693.2,Paid
PAY000254,INV00254,2026-07-11,38944.5,Paid
PAY000255,INV00255,2026-06-13,924488.25,Paid
PAY000256,INV00256,2026-05-11,1124948.87,Paid
PAY000257,INV00257,2026-04-07,19589.33,Paid
PAY000258,INV00258,2026-05-01,747050.85,Paid
PAY000259,INV00259,2026-05-20,263820.48,Paid
PAY000260,INV00260,2026-05-08,607572.8,Paid
PAY000261,INV00261,2026-06-22,80027.14,Paid
PAY000262,INV00262,2026-04-06,1882315.0,Paid
PAY000263,INV00263,2026-05-04,2116164.8,Paid
PAY000264,INV00264,2026-07-08,678101.2,Paid
PAY000265,INV00265,2026-05-26,119834.4,Paid
PAY000266,INV00266,2026-05-25,1717379.5,Paid
PAY000267,INV00267,2026-07-03,12464.2,Paid
PAY000268,INV00268,2026-08-25,566.54,Paid
PAY000269,INV00269,2026-09-16,9511.68,Paid
PAY000270,INV00270,2026-06-12,9665.67,Paid
PAY000271,INV00271,2026-03-06,804493.98,Paid
PAY000272,INV00272,2026-07-02,317286.48,Paid
PAY000273,INV00273,2026-06-01,3934490.0,Paid
PAY000274,INV00274,2026-08-09,151915.32,Paid
PAY000275,INV00275,2026-07-05,2347.51,Paid
PAY000276,INV00276,2026-02-12,71766.0,Paid
PAY000277,INV00277,2026-03-19,216613.43,Paid
PAY000278,INV00278,2026-03-21,453951.54,Paid
PAY000279,INV00279,2026-04-06,1912982.4,Paid
PAY000280,INV00280,2026-05-15,22370.75,Paid
PAY000281,INV00281,2026-04-20,163341.6,Paid
PAY000282,INV00282,2026-08-23,12683.35,Paid
PAY000283,INV00283,2026-09-27,1805.58,Paid
PAY000284,INV00284,2026-09-21,1398.31,Paid
PAY000285,INV00285,2026-08-03,386008.35,Paid
PAY000286,INV00286,2026-09-13,12498.26,Paid
PAY000287,INV00287,2026-03-18,6483625.05,Paid
PAY000288,INV00288,2026-05-19,386852.5,Paid
PAY000289,INV00289,2026-06-08,3597171.2,Paid
PAY000290,INV00290,2026-09-04,13095.64,Paid
PAY000291,INV00291,2026-06-30,3522.3,Paid
PAY000292,INV00292,2026-06-25,36890.0,Paid
PAY000293,INV00293,2026-04-02,3767761.2,Paid
PAY000294,INV00294,2026-08-23,149954.75,Paid
PAY000295,INV00295,2026-05-17,4726.63,Paid
PAY000296,INV00296,2026-03-26,6810.08,Paid
PAY000297,INV00297,2026-09-10,263103.23,Paid
PAY000298,INV00298,2026-06-08,507449.25,Paid
PAY000299,INV00299,2026-06-14,9541.46,Paid
PAY000300,INV00300,2026-03-31,84901.9,Paid
PAY000301,INV00301,2026-09-03,1500855.0,Paid
PAY000302,INV00302,2026-02-12,150309.58,Paid
PAY000303,INV00303,2026-10-13,18009.5,Paid
PAY000304,INV00304,2026-04-06,426782.4,Paid
PAY000305,INV00305,2026-03-04,14342.86,Paid
PAY000306,INV00306,2026-05-31,1353.66,Paid
PAY000307,INV00307,2026-05-10,14667.52,Paid
PAY000308,INV00308,2026-07-21,1824368.5,Paid
PAY000309,INV00309,2026-03-01,370.35,Paid
PAY000310,INV00310,2026-09-23,7812.8,Paid
PAY000311,INV00311,2026-04-19,55202.78,Paid
PAY000312,INV00312,2026-09-15,9511.68,Paid
PAY000313,INV00313,2026-08-29,1317949.5,Paid
PAY000314,INV00314,2026-02-15,2039236.5,Paid
PAY000315,INV00315,2026-04-17,497768.25,Paid
PAY000316,INV00316,2026-08-27,9523.19,Paid
PAY000317,INV00317,2026-02-10,2502.85,Paid
PAY000318,INV00318,2026-09-11,63937.12,Paid
PAY000319,INV00319,2026-07-10,2697.49,Paid
PAY000320,INV00320,2026-03-25,174348.0,Paid
PAY000321,INV00321,2026-04-23,392503.12,Paid
PAY000322,INV00322,2026-06-27,1434367.2,Paid
PAY000323,INV00323,2026-07-31,2949799.4,Paid
PAY000324,INV00324,2026-06-19,32118.91,Paid
PAY000325,INV00325,2026-04-22,616254.5,Paid
PAY000326,INV00326,2026-05-31,1738.46,Paid
PAY000327,INV00327,2026-03-10,110361.27,Paid
PAY000328,INV00328,2026-06-11,12665.92,Paid
PAY000329,INV00329,2026-03-11,16967.48,Paid
PAY000330,INV00330,2026-09-30,6389460.0,Paid
PAY000331,INV00331,2026-08-31,37403.52,Paid
PAY000332,INV00332,2026-03-07,6677.44,Paid
PAY000333,INV00333,2026-03-06,54420.66,Paid
PAY000334,INV00334,2026-04-23,155986.32,Paid
PAY000335,INV00335,2026-07-27,4226394.2,Paid
PAY000336,INV00336,2026-05-08,560.84,Paid
PAY000337,INV00337,2026-03-02,2883666.3,Paid
PAY000338,INV00338,2026-07-09,2831940.0,Paid
PAY000339,INV00339,2026-07-09,2426127.5,Paid
PAY000340,INV00340,2026-09-17,1743336.0,Paid
PAY000341,INV00341,2026-06-10,130909.0,Paid
PAY000342,INV00342,2026-03-20,1885.27,Paid
PAY000343,INV00343,2026-04-14,26474.03,Paid
PAY000344,INV00344,2026-03-21,102742.01,Paid
PAY000345,INV00345,2026-10-13,580500.9,Paid
PAY000346,INV00346,2026-02-20,7863.64,Paid
PAY000347,INV00347,2026-07-18,534898.72,Paid
PAY000348,INV00348,2026-05-05,453951.54,Paid
PAY000349,INV00349,2026-07-09,16528.9,Paid
PAY000350,INV00350,2026-09-10,28379.4,Paid
PAY000351,INV00351,2026-05-23,10191.55,Paid
PAY000352,INV00352,2026-03-14,2243.05,Paid
PAY000353,INV00353,2026-05-02,102692.35,Paid
PAY000354,INV00354,2026-04-01,465705.0,Paid
PAY000355,INV00355,2026-09-18,83426.0,Paid
PAY000356,INV00356,2026-07-20,503798.64,Paid
PAY000357,INV00357,2026-08-08,7599.44,Paid
PAY000358,INV00358,2026-08-23,18844.5,Paid
PAY000359,INV00359,2026-04-08,13785.02,Paid
PAY000360,INV00360,2026-05-11,17203.0,Paid
PAY000361,INV00361,2026-02-18,8031.08,Paid
PAY000362,INV00362,2026-06-17,392.84,Paid
PAY000363,INV00363,2026-09-07,219137.2,Paid
PAY000364,INV00364,2026-04-01,22000.16,Paid
PAY000365,INV00365,2026-04-04,85164.73,Paid
PAY000366,INV00366,2026-05-28,487861.92,Paid
PAY000367,INV00367,2026-03-04,91896.11,Paid
PAY000368,INV00368,2026-03-07,71414.95,Paid
PAY000369,INV00369,2026-08-14,20170.36,Paid
PAY000370,INV00370,2026-02-28,2132.52,Paid
PAY000371,INV00371,2026-07-01,5266.01,Paid
PAY000372,INV00372,2026-05-19,5374005.0,Paid
PAY000373,INV00373,2026-09-03,4632.38,Paid
PAY000374,INV00374,2026-04-14,119834.4,Paid
PAY000375,INV00375,2026-09-05,1431646.8,Paid
PAY000376,INV00376,2026-09-02,984442.0,Paid
PAY000377,INV00377,2026-08-07,55400.69,Paid
PAY000378,INV00378,2026-04-23,647186.4,Paid
PAY000379,INV00379,2026-09-16,83397.26,Paid
PAY000380,INV00380,2026-08-07,38343.31,Paid
PAY000381,INV00381,2026-02-28,10840754.4,Paid
PAY000382,INV00382,2026-09-13,222777.45,Paid
PAY000383,INV00383,2026-05-07,1507.48,Paid
PAY000384,INV00384,2026-05-10,59609.5,Paid
PAY000385,INV00385,2026-08-15,52620.0,Paid
PAY000386,INV00386,2026-06-21,22605.46,Paid
PAY000387,INV00387,2026-04-11,36071.84,Paid
PAY000388,INV00388,2026-02-22,226976.4,Paid
PAY000389,INV00389,2026-06-09,355491.92,Paid
PAY000390,INV00390,2026-06-24,91363.66,Paid
PAY000391,INV00391,2026-09-19,61036.56,Paid
PAY000392,INV00392,2026-04-09,850526.25,Paid
PAY000393,INV00393,2026-07-18,20450628.8,Paid
PAY000394,INV00394,2026-04-30,1755510.75,Paid
PAY000395,INV00395,2026-04-09,176927.0,Paid
PAY000396,INV00396,2026-03-22,11736.93,Paid
PAY000397,INV00397,2026-09-09,54077.39,Paid
PAY000398,INV00398,2026-09-27,15973270.6,Paid
PAY000399,INV00399,2026-05-10,1392785.62,Paid
PAY000400,INV00400,2026-07-21,58702.56,Paid
PAY000401,INV00401,2026-10-01,7680.73,Paid
PAY000402,INV00402,2026-04-14,747050.85,Paid
PAY000403,INV00403,2026-10-27,9007006.4,Paid
PAY000404,INV00404,2026-05-28,61282.8,Paid
PAY000405,INV00405,2026-08-09,34893.68,Paid
PAY000406,INV00406,2026-06-25,17741.9,Paid
PAY000407,INV00407,2026-06-03,2943.1,Paid
PAY000408,INV00408,2026-04-03,20484.68,Paid
PAY000409,INV00409,2026-07-07,2074690.75,Paid
PAY000410,INV00410,2026-04-01,21940.8,Paid
PAY000411,INV00411,2026-05-04,1745.36,Paid
PAY000412,INV00412,2026-03-22,6824792.5,Paid
PAY000413,INV00413,2026-09-28,3054.24,Paid
PAY000414,INV00414,2026-07-30,76325.6,Paid
PAY000415,INV00415,2026-08-04,86894.7,Paid
PAY000416,INV00416,2026-08-26,11784.89,Paid
PAY000417,INV00417,2026-09-11,1937.0,Paid
PAY000418,INV00418,2026-07-08,4633.0,Paid
PAY000419,INV00419,2026-07-06,1139225.0,Paid
PAY000420,INV00420,2026-04-11,1327608.5,Paid
PAY000421,INV00421,2026-08-03,63053.97,Paid
PAY000422,INV00422,2026-08-30,3888.55,Paid
PAY000423,INV00423,2026-08-10,128683.74,Paid
PAY000424,INV00424,2026-05-08,10881.13,Paid
PAY000425,INV00425,2026-06-17,367578.02,Paid
PAY000426,INV00426,2026-09-28,9995.55,Paid
PAY000427,INV00427,2026-07-16,18091.62,Paid
PAY000428,INV00428,2026-03-15,808.62,Paid
PAY000429,INV00429,2026-03-13,44154.23,Paid
PAY000430,INV00430,2026-04-03,4238841.6,Paid
PAY000431,INV00431,2026-08-09,5916209.6,Paid
PAY000432,INV00432,2026-07-14,10273.2,Paid
PAY000433,INV00433,2026-05-31,1717687.12,Paid
PAY000434,INV00434,2026-07-02,875741.44,Paid
PAY000435,INV00435,2026-06-09,81801.3,Paid
PAY000436,INV00436,2026-07-11,13665975.3,Paid
PAY000437,INV00437,2026-04-20,16636.31,Paid
PAY000438,INV00438,2026-09-07,14519.51,Paid
PAY000439,INV00439,2026-06-23,7284.78,Paid
PAY000440,INV00440,2026-01-31,41993.91,Paid
PAY000441,INV00441,2026-04-22,167272.08,Paid
PAY000442,INV00442,2026-03-29,4039081.0,Paid
PAY000443,INV00443,2026-08-08,883830.0,Paid
PAY000444,INV00444,2026-08-08,4563.08,Paid
PAY000445,INV00445,2026-03-11,6577211.2,Paid
PAY000446,INV00446,2026-07-28,368918.15,Paid
PAY000447,INV00447,2026-10-22,1235038.15,Paid
PAY000448,INV00448,2026-04-12,33468.6,Paid
PAY000449,INV00449,2026-08-27,1595049.0,Paid
PAY000450,INV00450,2026-03-22,12389.27,Paid
PAY000451,INV00451,2026-05-06,3166.9,Paid
PAY000452,INV00452,2026-03-17,218648.64,Paid
PAY000453,INV00453,2026-10-12,1235038.15,Paid
PAY000454,INV00454,2026-04-11,142652.79,Paid
PAY000455,INV00455,2026-05-27,1511373.5,Paid
PAY000456,INV00456,2026-06-06,5397.38,Paid
PAY000457,INV00457,2026-04-08,3183.73,Paid
PAY000458,INV00458,2026-06-14,7989738.75,Paid
PAY000459,INV00459,2026-04-16,9058.69,Paid
PAY000460,INV00460,2026-08-30,46415.54,Paid
PAY000461,INV00461,2026-03-21,2286093.6,Paid
PAY000462,INV00462,2026-08-10,15733.31,Paid
PAY000463,INV00463,2026-06-22,169789.02,Paid
PAY000464,INV00464,2026-07-26,4623517.5,Paid
PAY000465,INV00465,2026-10-08,11985.38,Paid
PAY000466,INV00466,2026-02-14,3640.83,Paid
PAY000467,INV00467,2026-06-07,26336.64,Paid
PAY000468,INV00468,2026-11-17,116823.0,Paid
PAY000469,INV00469,2026-03-19,77529.0,Paid
PAY000470,INV00470,2026-10-04,2897325.38,Paid
PAY000471,INV00471,2026-09-06,1896.28,Paid
PAY000472,INV00472,2026-06-06,9256.32,Paid
PAY000473,INV00473,2026-10-29,33895.26,Paid
PAY000474,INV00474,2026-06-10,67615.3,Paid
PAY000475,INV00475,2026-03-14,34037.92,Paid
PAY000476,INV00476,2026-04-03,760447.46,Paid
PAY000477,INV00477,2026-03-17,368004.56,Paid
PAY000478,INV00478,2026-07-05,117784.8,Paid
PAY000479,INV00479,2026-07-09,819807.5,Paid
PAY000480,INV00480,2026-01-18,3096.9,Paid
PAY000481,INV00481,2026-07-25,1229739.0,Paid
PAY000482,INV00482,2026-07-24,295551.9,Paid
PAY000483,INV00483,2026-03-13,81942.2,Paid
PAY000484,INV00484,2026-05-12,1299385.5,Paid
PAY000485,INV00485,2026-04-30,13335.0,Paid
PAY000486,INV00486,2026-05-28,1661.32,Paid
PAY000487,INV00487,2026-06-14,66964.46,Paid
PAY000488,INV00488,2026-10-10,250142.3,Paid
PAY000489,INV00489,2026-05-15,185040.0,Paid
PAY000490,INV00490,2026-04-16,238479.18,Paid
PAY000491,INV00491,2026-07-16,57711.7,Paid
PAY000492,INV00492,2026-09-19,3374.0,Paid
PAY000493,INV00493,2026-07-31,4365.5,Paid
PAY000494,INV00494,2026-01-31,356311.62,Paid
PAY000495,INV00495,2026-04-09,253548.96,Paid
PAY000496,INV00496,2026-08-25,3761.75,Paid
PAY000497,INV00497,2026-05-04,678.03,Paid
PAY000498,INV00498,2026-08-27,4415818.4,Paid
PAY000499,INV00499,2026-07-06,49937.13,Paid
PAY000500,INV00500,2026-07-27,4190958.8,Paid
PAY000501,INV00501,2026-07-03,13665975.3,Paid
PAY000502,INV00502,2026-05-31,2649430.56,Paid
PAY000503,INV00503,2026-03-19,189085.56,Paid
PAY000504,INV00504,2026-04-14,19518.91,Paid
PAY000505,INV00505,2026-04-29,19465964.4,Paid
PAY000506,INV00506,2026-05-27,37723.6,Paid
PAY000507,INV00507,2026-03-31,267035.0,Paid
PAY000508,INV00508,2026-09-15,4186.88,Paid
PAY000509,INV00509,2026-08-08,12328640.0,Paid
PAY000510,INV00510,2026-05-25,192593.11,Paid
PAY000511,INV00511,2026-06-29,1178800.0,Paid
PAY000512,INV00512,2026-05-25,1933075.0,Paid
PAY000513,INV00513,2026-05-26,91.23,Paid
