po_id,po_line_id,vendor_id,po_date,item_id,ordered_quantity,unit_price,tax_rate,currency
PO00197,POL000197,V0335,2026-03-31,PRO-122,5,32389.16,0.18,INR
PO00198,POL000198,V0059,2026-05-10,IT -092,50,15011.76,0.0,INR
PO00199,POL000199,V0319,2026-04-22,FAC-032,10,4637.04,0.12,INR
PO00200,POL000200,V0438,2026-03-24,OFF-018,250,1599.24,0.0,INR
PO00201,POL000201,V0114,2026-07-09,IT -118,50,9594.54,0.05,INR
PO00202,POL000202,V0461,2026-06-27,OFF-027,20,1127.19,0.05,INR
PO00203,POL000203,V0487,2026-07-15,LOG-118,20,7103.66,0.18,INR
PO00204,POL000204,V0332,2026-02-20,OFF-147,100,1466.29,0.12,INR
PO00205,POL000205,V0250,2026-05-29,IT -035,100,7819.12,0.12,INR
PO00206,POL000206,V0179,2026-01-19,FAC-073,100,1159.63,0.18,INR
PO00207,POL000207,V0291,2026-02-13,IT -089,10,5707.92,0.0,INR
PO00208,POL000208,V0227,2026-04-20,FAC-007,5,2405.5,0.12,INR
PO00209,POL000209,V0475,2026-04-27,PRO-054,5,25436.3,0.05,INR
PO00210,POL000210,V0176,2026-05-31,IT -003,50,8644.43,0.18,INR
PO00211,POL000211,V0150,2026-04-17,OFF-033,100,826.15,0.12,INR
PO00212,POL000212,V0200,2026-05-07,LOG-151,50,8346.44,0.18,INR
PO00213,POL000213,V0219,2026-01-07,MAN-038,100,255.19,0.12,INR
PO00214,POL000214,V0463,2026-04-16,IT -147,500,12339.04,0.12,INR
PO00215,POL000215,V0432,2026-01-07,PRO-021,100,13462.0,0.0,INR
PO00216,POL000216,V0461,2026-03-13,OFF-107,1,670.23,0.12,INR
PO00217,POL000217,V0133,2026-07-26,UTI-068,10,758.05,0.0,INR
PO00218,POL000218,V0400,2026-01-05,MAN-121,500,1421.44,0.18,INR
PO00219,POL000219,V0406,2026-06-17,FAC-116,20,6194.97,0.12,INR
PO00220,POL000220,V0298,2026-06-15,MAN-060,250,814.41,0.18,INR
PO00221,POL000221,V0498,2026-02-02,MAN-160,1,2065.87,0.0,INR
PO00222,POL000222,V0160,2026-07-26,LOG-119,50,701.13,0.12,INR
PO00223,POL000223,V0282,2026-02-13,FAC-146,250,6832.08,0.12,INR
PO00224,POL000224,V0244,2026-04-27,PRO-152,50,10121.95,0.0,INR
PO00225,POL000225,V0323,2026-04-30,FAC-027,10,3343.91,0.12,INR
PO00226,POL000226,V0369,2026-03-24,IT -128,250,20472.4,0.05,INR
PO00227,POL000227,V0030,2026-05-24,IT -126,500,15999.33,0.05,INR
PO00228,POL000228,V0450,2026-02-10,FAC-004,250,1692.13,0.0,INR
PO00229,POL000229,V0422,2026-03-24,MAR-042,250,12134.07,0.12,INR
PO00230,POL000230,V0300,2026-06-21,UTI-077,250,4792.53,0.12,INR
PO00231,POL000231,V0198,2026-03-30,MAR-115,1,9292.5,0.12,INR
PO00232,POL000232,V0406,2026-04-24,FAC-022,2,3212.93,0.05,INR
PO00233,POL000233,V0486,2026-03-02,MAR-089,10,4407.61,0.18,INR
PO00234,POL000234,V0384,2026-07-05,FAC-005,50,7672.66,0.0,INR
PO00235,POL000235,V0328,2026-03-07,PRO-064,2,10278.2,0.12,INR
PO00236,POL000236,V0289,2026-01-03,MAN-108,20,3006.39,0.12,INR
PO00237,POL000237,V0452,2026-05-23,FAC-157,500,3305.68,0.12,INR
PO00238,POL000238,V0268,2026-07-18,OFF-056,250,1158.12,0.05,INR
PO00239,POL000239,V0413,2026-01-17,UTI-160,20,2292.67,0.12,INR
PO00240,POL000240,V0395,2026-03-14,MAN-029,100,642.7,0.0,INR
PO00241,POL000241,V0115,2026-02-07,MAR-133,5,4862.78,0.05,INR
PO00242,POL000242,V0313,2026-01-29,OFF-120,20,810.57,0.12,INR
PO00243,POL000243,V0285,2026-03-07,IT -071,50,20811.44,0.05,INR
PO00244,POL000244,V0477,2026-04-08,MAN-003,20,864.51,0.18,INR
PO00245,POL000245,V0472,2026-02-10,PRO-064,5,23589.14,0.0,INR
PO00246,POL000246,V0075,2026-07-02,MAN-093,250,3264.66,0.05,INR
PO00247,POL000247,V0247,2026-01-04,IT -062,20,4097.11,0.0,INR
PO00248,POL000248,V0033,2026-07-13,FAC-119,1,3027.96,0.0,INR
PO00249,POL000249,V0487,2026-05-30,LOG-070,500,3003.73,0.05,INR
PO00250,POL000250,V0338,2026-01-12,OFF-103,500,893.06,0.0,INR
PO00251,POL000251,V0044,2026-06-26,OFF-051,20,1436.24,0.18,INR
PO00252,POL000252,V0349,2026-07-02,UTI-025,100,1116.81,0.0,INR
PO00253,POL000253,V0451,2026-06-19,IT -086,50,9515.75,0.05,INR
PO00254,POL000254,V0432,2026-01-10,PRO-040,1,31152.49,0.0,INR
PO00255,POL000255,V0114,2026-01-20,IT -089,5,5641.3,0.05,INR
PO00256,POL000256,V0408,2026-06-28,FAC-080,50,3690.03,0.0,INR
PO00257,POL000257,V0035,2026-01-16,FAC-113,250,3447.82,0.0,INR
PO00258,POL000258,V0157,2026-05-02,MAN-044,20,1473.5,0.12,INR
PO00259,POL000259,V0396,2026-02-17,FAC-084,1,3365.38,0.05,INR
PO00260,POL000260,V0232,2026-03-06,LOG-121,100,10874.06,0.0,INR
PO00261,POL000261,V0039,2026-06-04,IT -129,250,4853.04,0.18,INR
PO00262,POL000262,V0149,2026-04-11,LOG-003,250,10760.65,0.18,INR
PO00263,POL000263,V0235,2026-06-27,UTI-121,50,2432.69,0.0,INR
PO00264,POL000264,V0139,2026-02-04,MAN-007,5,3301.75,0.12,INR
PO00265,POL000265,V0371,2026-02-17,MAN-055,50,1559.91,0.05,INR
PO00266,POL000266,V0355,2026-04-29,PRO-099,1,5809.4,0.05,INR
PO00267,POL000267,V0177,2026-07-15,UTI-106,250,2659.05,0.05,INR
PO00268,POL000268,V0462,2026-06-07,MAR-004,10,4582.83,0.18,INR
PO00269,POL000269,V0478,2026-02-19,UTI-147,1,3573.49,0.18,INR
PO00270,POL000270,V0316,2026-07-24,MAR-110,50,6059.42,0.18,INR
PO00271,POL000271,V0228,2026-01-11,PRO-053,250,8009.99,0.05,INR
PO00272,POL000272,V0172,2026-07-23,PRO-131,10,18737.83,0.05,INR
PO00273,POL000273,V0060,2026-03-09,MAR-090,5,17852.13,0.0,INR
PO00274,POL000274,V0290,2026-02-21,MAR-134,500,15440.66,0.12,INR
PO00275,POL000275,V0015,2026-03-10,FAC-131,50,5427.32,0.12,INR
PO00276,POL000276,V0039,2026-05-15,IT -143,250,10233.54,0.18,INR
PO00277,POL000277,V0195,2026-05-15,FAC-037,2,3333.26,0.05,INR
PO00278,POL000278,V0177,2026-04-25,UTI-049,1,2215.27,0.18,INR
PO00279,POL000279,V0132,2026-07-19,PRO-007,500,29204.59,0.05,INR
PO00280,POL000280,V0300,2026-03-18,UTI-105,100,3827.71,0.05,INR
PO00281,POL000281,V0163,2026-04-12,LOG-125,2,7189.85,0.18,INR
PO00282,POL000282,V0210,2026-07-25,MAR-060,500,7613.59,0.05,INR
PO00283,POL000283,V0170,2026-03-29,UTI-126,10,1713.81,0.18,INR
PO00284,POL000284,V0255,2026-02-22,LOG-158,250,7938.19,0.18,INR
PO00285,POL000285,V0485,2026-03-14,OFF-041,50,1019.15,0.18,INR
PO00286,POL000286,V0422,2026-07-22,MAR-133,100,9362.13,0.12,INR
PO00287,POL000287,V0177,2026-01-24,UTI-142,1,383.05,0.0,INR
PO00288,POL000288,V0303,2026-02-01,LOG-134,5,6381.78,0.18,INR
PO00289,POL000289,V0278,2026-01-05,OFF-024,250,1181.7,0.05,INR
PO00290,POL000290,V0098,2026-06-04,IT -048,10,9857.87,0.12,INR
PO00291,POL000291,V0247,2026-05-04,IT -010,5,19046.37,0.05,INR
PO00292,POL000292,V0340,2026-01-14,MAR-099,100,8109.72,0.05,INR
PO00293,POL000293,V0335,2026-06-08,PRO-098,1,12683.29,0.0,INR
PO00294,POL000294,V0126,2026-03-25,OFF-083,500,808.58,0.0,INR
PO00295,POL000295,V0439,2026-07-08,PRO-117,50,19953.16,0.0,INR
PO00296,POL000296,V0263,2026-01-28,OFF-138,500,1075.42,0.0,INR
PO00297,POL000297,V0304,2026-06-07,IT -063,250,21452.93,0.18,INR
PO00298,POL000298,V0230,2026-06-22,IT -037,100,10591.65,0.12,INR
PO00299,POL000299,V0447,2026-05-23,OFF-122,20,1948.87,0.05,INR
PO00300,POL000300,V0108,2026-02-20,LOG-099,100,4738.95,0.05,INR
PO00301,POL000301,V0032,2026-05-15,MAN-031,500,2917.58,0.0,INR
PO00302,POL000302,V0065,2026-01-26,MAR-079,100,14665.84,0.18,INR
PO00303,POL000303,V0111,2026-01-25,PRO-123,500,8548.26,0.18,INR
PO00304,POL000304,V0389,2026-01-07,LOG-013,5,3471.98,0.18,INR
PO00305,POL000305,V0223,2026-07-14,OFF-077,5,1847.9,0.0,INR
PO00306,POL000306,V0416,2026-03-19,IT -147,1,14487.7,0.12,INR
PO00307,POL000307,V0108,2026-07-17,LOG-020,10,7718.82,0.05,INR
PO00308,POL000308,V0127,2026-06-05,LOG-055,100,1822.51,0.0,INR
PO00309,POL000309,V0068,2026-04-25,PRO-001,2,8363.05,0.12,INR
PO00310,POL000310,V0157,2026-01-16,MAN-110,1,2289.3,0.0,INR
PO00311,POL000311,V0242,2026-07-11,PRO-101,50,24201.34,0.05,INR
PO00312,POL000312,V0356,2026-02-16,MAR-031,100,7070.99,0.12,INR
PO00313,POL000313,V0229,2026-02-01,OFF-154,100,472.56,0.12,INR
PO00314,POL000314,V0049,2026-03-06,MAR-095,5,16250.79,0.18,INR
PO00315,POL000315,V0212,2026-03-13,FAC-108,20,7770.3,0.0,INR
PO00316,POL000316,V0007,2026-07-21,PRO-011,5,26787.4,0.18,INR
PO00317,POL000317,V0292,2026-01-15,OFF-040,50,1105.63,0.0,INR
PO00318,POL000318,V0106,2026-07-23,PRO-141,1,34693.65,0.0,INR
PO00319,POL000319,V0075,2026-02-19,MAN-095,500,2341.31,0.12,INR
PO00320,POL000320,V0356,2026-06-14,MAR-035,20,1096.15,0.05,INR
PO00321,POL000321,V0114,2026-06-12,IT -061,250,24052.13,0.12,INR
PO00322,POL000322,V0095,2026-04-26,IT -151,5,6672.14,0.12,INR
PO00323,POL000323,V0476,2026-05-27,PRO-144,500,20075.38,0.05,INR
PO00324,POL000324,V0173,2026-06-01,UTI-021,20,2737.56,0.0,INR
PO00325,POL000325,V0313,2026-01-21,OFF-059,1,925.97,0.12,INR
PO00326,POL000326,V0434,2026-01-12,UTI-044,50,849.91,0.12,INR
PO00327,POL000327,V0188,2026-07-27,MAR-092,500,1886.68,0.18,INR
PO00328,POL000328,V0309,2026-07-26,UTI-081,5,852.69,0.0,INR
PO00329,POL000329,V0061,2026-07-07,OFF-135,1,183.56,0.05,INR
PO00330,POL000330,V0117,2026-02-17,OFF-113,10,1608.78,0.05,INR
PO00331,POL000331,V0062,2026-02-26,UTI-047,2,4020.53,0.12,INR
PO00332,POL000332,V0049,2026-04-28,MAR-135,500,15218.55,0.05,INR
PO00333,POL000333,V0138,2026-04-03,OFF-089,10,137.14,0.0,INR
PO00334,POL000334,V0476,2026-05-15,PRO-030,500,7453.03,0.18,INR
PO00335,POL000335,V0419,2026-04-20,UTI-052,20,2943.59,0.18,INR
PO00336,POL000336,V0096,2026-06-10,OFF-060,500,995.42,0.05,INR
PO00337,POL000337,V0463,2026-02-22,IT -019,50,5267.68,0.0,INR
PO00338,POL000338,V0448,2026-03-11,IT -142,500,20848.08,0.12,INR
PO00339,POL000339,V0476,2026-03-15,PRO-009,250,4129.51,0.12,INR
PO00340,POL000340,V0413,2026-07-29,UTI-125,5,1450.59,0.0,INR
PO00341,POL000341,V0253,2026-05-26,PRO-052,500,12700.77,0.12,INR
