receipt_id,receipt_line_id,po_id,po_line_id,receipt_date,item_id,quantity_received
GR00177,GRL000177,PO00177,POL000177,2026-02-17,UTI-055,20
GR00178,GRL000178,PO00178,POL000178,2026-07-23,MAR-118,500
GR00179,GRL000179,PO00179,POL000179,2026-04-13,LOG-004,20
GR00180,GRL000180,PO00180,POL000180,2026-06-12,IT -039,100
GR00181,GRL000181,PO00181,POL000181,2026-05-23,MAR-045,5
GR00182,GRL000182,PO00182,POL000182,2026-05-31,OFF-112,50
GR00183,GRL000183,PO00183,POL000183,2026-05-17,OFF-117,10
GR00184,GRL000184,PO00184,POL000184,2026-05-11,PRO-038,10
GR00185,GRL000185,PO00185,POL000185,2026-02-26,UTI-109,2
GR00186,GRL000186,PO00186,POL000186,2026-06-04,IT -131,5
GR00187,GRL000187,PO00187,POL000187,2026-01-23,MAR-043,50
GR00188,GRL000188,PO00188,POL000188,2026-03-24,OFF-087,250
GR00189,GRL000189,PO00189,POL000189,2026-08-17,UTI-158,2
GR00190,GRL000190,PO00190,POL000190,2026-03-16,MAR-081,100
GR00191,GRL000191,PO00191,POL000191,2026-04-23,IT -147,50
GR00192,GRL000192,PO00192,POL000192,2026-02-08,MAR-027,10
GR00193,GRL000193,PO00193,POL000193,2026-03-13,OFF-016,50
GR00194,GRL000194,PO00194,POL000194,2026-04-07,IT -094,2
GR00195,GRL000195,PO00195,POL000195,2026-07-08,LOG-053,2
GR00196,GRL000196,PO00196,POL000196,2026-03-10,LOG-135,5
GR00197,GRL000197,PO00197,POL000197,2026-04-29,PRO-122,5
GR00198,GRL000198,PO00198,POL000198,2026-05-17,IT -092,50
GR00199,GRL000199,PO00199,POL000199,2026-06-05,FAC-032,10
GR00200,GRL000200,PO00200,POL000200,2026-05-04,OFF-018,250
GR00201,GRL000201,PO00201,POL000201,2026-08-31,IT -118,50
GR00202,GRL000202,PO00202,POL000202,2026-08-08,OFF-027,20
GR00203,GRL000203,PO00203,POL000203,2026-07-28,LOG-118,20
GR00204,GRL000204,PO00204,POL000204,2026-03-19,OFF-147,100
GR00205,GRL000205,PO00205,POL000205,2026-06-02,IT -035,100
GR00206,GRL000206,PO00206,POL000206,2026-02-24,FAC-073,100
GR00207,GRL000207,PO00207,POL000207,2026-03-31,IT -089,10
GR00208,GRL000208,PO00208,POL000208,2026-05-03,FAC-007,5
GR00209,GRL000209,PO00209,POL000209,2026-06-21,PRO-054,5
GR00210,GRL000210,PO00210,POL000210,2026-07-19,IT -003,50
GR00211,GRL000211,PO00211,POL000211,2026-04-29,OFF-033,100
GR00212,GRL000212,PO00212,POL000212,2026-06-17,LOG-151,50
GR00213,GRL000213,PO00213,POL000213,2026-02-25,MAN-038,100
GR00214,GRL000214,PO00214,POL000214,2026-05-12,IT -147,500
GR00215,GRL000215,PO00215,POL000215,2026-01-30,PRO-021,100
GR00216,GRL000216,PO00216,POL000216,2026-05-03,OFF-107,1
GR00217,GRL000217,PO00217,POL000217,2026-09-18,UTI-068,10
GR00218,GRL000218,PO00218,POL000218,2026-02-19,MAN-121,500
GR00219,GRL000219,PO00219,POL000219,2026-07-25,FAC-116,20
GR00220,GRL000220,PO00220,POL000220,2026-07-19,MAN-060,250
GR00221,GRL000221,PO00221,POL000221,2026-02-05,MAN-160,1
GR00222,GRL000222,PO00222,POL000222,2026-08-01,LOG-119,50
GR00223,GRL000223,PO00223,POL000223,2026-02-28,FAC-146,250
GR00224,GRL000224,PO00224,POL000224,2026-06-21,PRO-152,50
GR00225,GRL000225,PO00225,POL000225,2026-06-17,FAC-027,10
GR00226,GRL000226,PO00226,POL000226,2026-04-28,IT -128,250
GR00227,GRL000227,PO00227,POL000227,2026-07-17,IT -126,500
GR00228,GRL000228,PO00228,POL000228,2026-03-24,FAC-004,250
GR00229,GRL000229,PO00229,POL000229,2026-05-12,MAR-042,250
GR00230,GRL000230,PO00230,POL000230,2026-07-20,UTI-077,250
GR00231,GRL000231,PO00231,POL000231,2026-04-24,MAR-115,1
GR00232,GRL000232,PO00232,POL000232,2026-06-02,FAC-022,2
GR00233,GRL000233,PO00233,POL000233,2026-04-16,MAR-089,10
GR00234,GRL000234,PO00234,POL000234,2026-07-07,FAC-005,50
GR00235,GRL000235,PO00235,POL000235,2026-04-19,PRO-064,2
GR00236,GRL000236,PO00236,POL000236,2026-02-21,MAN-108,20
GR00237,GRL000237,PO00237,POL000237,2026-06-24,FAC-157,500
GR00238,GRL000238,PO00238,POL000238,2026-08-06,OFF-056,250
GR00239,GRL000239,PO00239,POL000239,2026-02-08,UTI-160,20
GR00240,GRL000240,PO00240,POL000240,2026-03-16,MAN-029,100
GR00241,GRL000241,PO00241,POL000241,2026-03-20,MAR-133,5
GR00242,GRL000242,PO00242,POL000242,2026-03-10,OFF-120,20
GR00243,GRL000243,PO00243,POL000243,2026-03-08,IT -071,50
GR00244,GRL000244,PO00244,POL000244,2026-05-31,MAN-003,20
GR00245,GRL000245,PO00245,POL000245,2026-03-03,PRO-064,5
GR00246,GRL000246,PO00246,POL000246,2026-07-16,MAN-093,250
GR00247,GRL000247,PO00247,POL000247,2026-01-06,IT -062,20
GR00248,GRL000248,PO00248,POL000248,2026-08-10,FAC-119,1
GR00249,GRL000249,PO00249,POL000249,2026-06-25,LOG-070,500
GR00250,GRL000250,PO00250,POL000250,2026-02-07,OFF-103,500
GR00251,GRL000251,PO00251,POL000251,2026-08-06,OFF-051,20
GR00252,GRL000252,PO00252,POL000252,2026-08-01,UTI-025,100
GR00253,GRL000253,PO00253,POL000253,2026-08-09,IT -086,50
GR00254,GRL000254,PO00254,POL000254,2026-03-03,PRO-040,1
GR00255,GRL000255,PO00255,POL000255,2026-01-28,IT -089,5
GR00256,GRL000256,PO00256,POL000256,2026-07-04,FAC-080,50
GR00257,GRL000257,PO00257,POL000257,2026-01-26,FAC-113,250
GR00258,GRL000258,PO00258,POL000258,2026-05-18,MAN-044,20
GR00259,GRL000259,PO00259,POL000259,2026-04-13,FAC-084,1
GR00260,GRL000260,PO00260,POL000260,2026-03-27,LOG-121,100
GR00261,GRL000261,PO00261,POL000261,2026-07-11,IT -129,250
GR00262,GRL000262,PO00262,POL000262,2026-04-18,LOG-003,250
GR00263,GRL000263,PO00263,POL000263,2026-07-13,UTI-121,50
GR00264,GRL000264,PO00264,POL000264,2026-03-07,MAN-007,5
GR00265,GRL000265,PO00265,POL000265,2026-04-03,MAN-055,50
GR00266,GRL000266,PO00266,POL000266,2026-05-16,PRO-099,1
GR00267,GRL000267,PO00267,POL000267,2026-09-07,UTI-106,250
GR00268,GRL000268,PO00268,POL000268,2026-06-17,MAR-004,10
GR00269,GRL000269,PO00269,POL000269,2026-02-24,UTI-147,1
GR00270,GRL000270,PO00270,POL000270,2026-08-25,MAR-110,50
GR00271,GRL000271,PO00271,POL000271,2026-02-27,PRO-053,250
GR00272,GRL000272,PO00272,POL000272,2026-08-27,PRO-131,10
GR00273,GRL000273,PO00273,POL000273,2026-04-20,MAR-090,5
GR00274,GRL000274,PO00274,POL000274,2026-03-26,MAR-134,500
GR00275,GRL000275,PO00275,POL000275,2026-04-16,FAC-131,50
GR00276,GRL000276,PO00276,POL000276,2026-06-14,IT -143,250
GR00277,GRL000277,PO00277,POL000277,2026-06-21,FAC-037,2
GR00278,GRL000278,PO00278,POL000278,2026-05-04,UTI-049,1
GR00279,GRL000279,PO00279,POL000279,2026-07-28,PRO-007,500
GR00280,GRL000280,PO00280,POL000280,2026-03-29,UTI-105,100
GR00281,GRL000281,PO00281,POL000281,2026-05-26,LOG-125,2
GR00282,GRL000282,PO00282,POL000282,2026-09-17,MAR-060,500
GR00283,GRL000283,PO00283,POL000283,2026-03-31,UTI-126,10
GR00284,GRL000284,PO00284,POL000284,2026-03-05,LOG-158,250
GR00285,GRL000285,PO00285,POL000285,2026-04-18,OFF-041,50
GR00286,GRL000286,PO00286,POL000286,2026-07-24,MAR-133,100
GR00287,GRL000287,PO00287,POL000287,2026-02-17,UTI-142,1
GR00288,GRL000288,PO00288,POL000288,2026-02-18,LOG-134,5
GR00289,GRL000289,PO00289,POL000289,2026-02-21,OFF-024,250
GR00290,GRL000290,PO00290,POL000290,2026-06-19,IT -048,10
GR00291,GRL000291,PO00291,POL000291,2026-05-25,IT -010,5
GR00292,GRL000292,PO00292,POL000292,2026-02-28,MAR-099,100
GR00293,GRL000293,PO00293,POL000293,2026-07-09,PRO-098,1
GR00294,GRL000294,PO00294,POL000294,2026-04-02,OFF-083,500
GR00295,GRL000295,PO00295,POL000295,2026-07-15,PRO-117,50
GR00296,GRL000296,PO00296,POL000296,2026-03-24,OFF-138,500
GR00297,GRL000297,PO00297,POL000297,2026-07-03,IT -063,250
GR00298,GRL000298,PO00298,POL000298,2026-07-18,IT -037,100
GR00299,GRL000299,PO00299,POL000299,2026-05-24,OFF-122,20
GR00300,GRL000300,PO00300,POL000300,2026-03-15,LOG-099,100
GR00301,GRL000301,PO00301,POL000301,2026-07-01,MAN-031,500
GR00302,GRL000302,PO00302,POL000302,2026-02-24,MAR-079,100
GR00303,GRL000303,PO00303,POL000303,2026-02-11,PRO-123,500
GR00304,GRL000304,PO00304,POL000304,2026-01-13,LOG-013,5
GR00305,GRL000305,PO00305,POL000305,2026-08-10,OFF-077,5
GR00306,GRL000306,PO00306,POL000306,2026-04-25,IT -147,1
GR00307,GRL000307,PO00307,POL000307,2026-08-27,LOG-020,10
GR00308,GRL000308,PO00308,POL000308,2026-07-03,LOG-055,100
GR00309,GRL000309,PO00309,POL000309,2026-05-10,PRO-001,2
GR00310,GRL000310,PO00310,POL000310,2026-02-10,MAN-110,1
GR00311,GRL000311,PO00311,POL000311,2026-08-12,PRO-101,50
GR00312,GRL000312,PO00312,POL000312,2026-03-22,MAR-031,100
GR00313,GRL000313,PO00313,POL000313,2026-03-26,OFF-154,100
GR00314,GRL000314,PO00314,POL000314,2026-04-19,MAR-095,5
GR00315,GRL000315,PO00315,POL000315,2026-03-31,FAC-108,20
GR00316,GRL000316,PO00316,POL000316,2026-08-21,PRO-011,5
GR00317,GRL000317,PO00317,POL000317,2026-02-24,OFF-040,50
GR00318,GRL000318,PO00318,POL000318,2026-08-24,PRO-141,1
GR00319,GRL000319,PO00319,POL000319,2026-03-15,MAN-095,500
GR00320,GRL000320,PO00320,POL000320,2026-06-15,MAR-035,20
GR00321,GRL000321,PO00321,POL000321,2026-07-04,IT -061,250
GR00322,GRL000322,PO00322,POL000322,2026-05-20,IT -151,5
GR00323,GRL000323,PO00323,POL000323,2026-06-02,PRO-144,500
GR00324,GRL000324,PO00324,POL000324,2026-06-18,UTI-021,20
GR00325,GRL000325,PO00325,POL000325,2026-03-02,OFF-059,1
GR00326,GRL000326,PO00326,POL000326,2026-01-22,UTI-044,50
GR00327,GRL000327,PO00327,POL000327,2026-07-29,MAR-092,500
GR00328,GRL000328,PO00328,POL000328,2026-08-27,UTI-081,5
GR00329,GRL000329,PO00329,POL000329,2026-08-12,OFF-135,1
GR00330,GRL000330,PO00330,POL000330,2026-04-03,OFF-113,10
GR00331,GRL000331,PO00331,POL000331,2026-03-10,UTI-047,2
GR00332,GRL000332,PO00332,POL000332,2026-06-11,MAR-135,500
GR00333,GRL000333,PO00333,POL000333,2026-05-15,OFF-089,10
GR00334,GRL000334,PO00334,POL000334,2026-06-16,PRO-030,500
GR00335,GRL000335,PO00335,POL000335,2026-05-11,UTI-052,20
GR00336,GRL000336,PO00336,POL000336,2026-06-27,OFF-060,500
GR00337,GRL000337,PO00337,POL000337,2026-04-10,IT -019,50
GR00338,GRL000338,PO00338,POL000338,2026-04-28,IT -142,500
GR00339,GRL000339,PO00339,POL000339,2026-04-29,PRO-009,250
GR00340,GRL000340,PO00340,POL000340,2026-08-07,UTI-125,5
GR00341,GRL000341,PO00341,POL000341,2026-06-10,PRO-052,500
GR00342,GRL000342,PO00342,POL000342,2026-03-28,OFF-030,500
GR00343,GRL000343,PO00343,POL000343,2026-08-19,PRO-108,250
GR00344,GRL000344,PO00344,POL000344,2026-07-11,UTI-060,100
GR00345,GRL000345,PO00345,POL000345,2026-04-25,MAR-026,100
GR00346,GRL000346,PO00346,POL000346,2026-04-06,PRO-006,1
GR00347,GRL000347,PO00347,POL000347,2026-01-30,OFF-132,2
GR00348,GRL000348,PO00348,POL000348,2026-06-25,MAN-077,2
GR00349,GRL000349,PO00349,POL000349,2026-03-21,MAN-045,100
GR00350,GRL000350,PO00350,POL000350,2026-06-11,PRO-040,20
GR00351,GRL000351,PO00351,POL000351,2026-06-19,IT -123,250
GR00352,GRL000352,PO00352,POL000352,2026-04-03,FAC-107,50
GR00353,GRL000353,PO00353,POL000353,2026-08-14,UTI-024,20
GR00354,GRL000354,PO00354,POL000354,2026-03-19,IT -157,250
GR00355,GRL000355,PO00355,POL000355,2026-05-24,UTI-012,10
GR00356,GRL000356,PO00356,POL000356,2026-08-10,MAR-038,20
GR00357,GRL000357,PO00357,POL000357,2026-05-02,UTI-144,100
GR00358,GRL000358,PO00358,POL000358,2026-08-23,OFF-026,50
GR00359,GRL000359,PO00359,POL000359,2026-03-15,LOG-046,10
GR00360,GRL000360,PO00360,POL000360,2026-07-11,MAN-054,100
GR00361,GRL000361,PO00361,POL000361,2026-04-28,LOG-049,50
GR00362,GRL000362,PO00362,POL000362,2026-02-24,MAR-034,50
GR00363,GRL000363,PO00363,POL000363,2026-04-14,IT -155,100
GR00364,GRL000364,PO00364,POL000364,2026-05-24,MAN-121,2
GR00365,GRL000365,PO00365,POL000365,2026-05-24,MAR-097,20
GR00366,GRL000366,PO00366,POL000366,2026-03-30,OFF-092,500
GR00367,GRL000367,PO00367,POL000367,2026-06-07,FAC-090,500
GR00368,GRL000368,PO00368,POL000368,2026-01-24,LOG-091,20
GR00369,GRL000369,PO00369,POL000369,2026-08-25,UTI-064,20
GR00370,GRL000370,PO00370,POL000370,2026-03-09,MAN-031,20
GR00371,GRL000371,PO00371,POL000371,2026-02-20,UTI-160,250
GR00372,GRL000372,PO00372,POL000372,2026-03-13,IT -068,20
GR00373,GRL000373,PO00373,POL000373,2026-06-16,MAR-071,500
GR00374,GRL000374,PO00374,POL000374,2026-06-25,LOG-042,500
GR00375,GRL000375,PO00375,POL000375,2026-04-21,OFF-059,10
GR00376,GRL000376,PO00376,POL000376,2026-06-15,MAR-099,1
GR00377,GRL000377,PO00377,POL000377,2026-06-22,PRO-150,10
GR00378,GRL000378,PO00378,POL000378,2026-05-04,UTI-106,100
GR00379,GRL000379,PO00379,POL000379,2026-07-07,OFF-009,50
GR00380,GRL000380,PO00380,POL000380,2026-05-12,OFF-078,5
GR00381,GRL000381,PO00381,POL000381,2026-09-05,PRO-123,100
GR00382,GRL000382,PO00382,POL000382,2026-07-10,MAR-109,5
GR00383,GRL000383,PO00383,POL000383,2026-04-28,IT -036,1
